Item Name,Selling Mode,Item Price
'70s Baby Blue Cabinet, Sell, 5000
'70s Baby Blue Cabinet, Sell, 75000
'70s Baby Blue Cabinet, Buy, 85000
'70s Baby Blue Cabinet, Buy, 200000
'70s Chair, Sell, 5000
'70s Chair, Sell, 60000
'70s Chair, Buy, 125000
'70s Chair, Buy, 150000
'70s Lime Table, Sell, 5000
'70s Lime Table, Sell, 70000
'70s Lime Table, Buy, 85000
'70s Lime Table, Buy, 150000
'70s Rug, Sell, 20000
'70s Rug, Buy, 120000
'70s Single Bed, Sell, 15000
'70s Single Bed, Sell, 80000
'70s Single Bed, Buy, 185000
'70s Single Bed, Buy, 250000
1000 Coins, Offline, 10
Amethyst Block, Sell, 1000
Amethyst Block, Sell, 20000
Amethyst Block, Buy, 70000
Amethyst Crystal, Sell, 1500
Amethyst Crystal, Sell, 3000
Amethyst Crystal, Sell, 3000
Amethyst Crystal, Sell, 5000
Amethyst Crystal, Sell, 5000
Amethyst Crystal, Sell, 5000
Amethyst Crystal, Sell, 5000
Amethyst Crystal, Sell, 5000
Amethyst Crystal, Sell, 5000
Amethyst Crystal, Sell, 10000
Amethyst Crystal, Buy, 10000
Amethyst Crystal, Sell, 10000
Amethyst Crystal, Sell, 10000
Amethyst Crystal, Sell, 10000
Amethyst Crystal, Sell, 10000
Amethyst Crystal, Sell, 10000
Amethyst Crystal, Sell, 10000
Amethyst Crystal, Buy, 14000
Amethyst Crystal, Buy, 15000
Amethyst Crystal, Buy, 15000
Amethyst Crystal, Buy, 22000
Amethyst Crystal, Buy, 22000
Amethyst Crystal, Buy, 22000
Amethyst Crystal, Buy, 22500
Ancient Longbow, Sell, 450000
Ancient Longbow, Buy, 800000
Ancient Longbow, Sell, 1000000
Ancient Longbow, Buy, 2500000
Ancient Slime String, Sell, 4000
Ancient Slime String, Sell, 5000
Ancient Slime String, Sell, 6000
Ancient Slime String, Buy, 8000
Ancient Slime String, Buy, 15000
Ancient Stool, Sell, 100000
Ancient Stool, Buy, 250000
Ancient Street Lamp, Sell, 260000
Ancient Street Lamp, Buy, 500000
And Gate, Sell, 65000
And Gate, Buy, 80000
Andesite Brick, Sell, 50
Andesite Brick, Buy, 2000
Andesite Carved, Sell, 300
Andesite Carved, Buy, 3000
Antler Hammer, Sell, 17000000
Antler Hammer, Sell, 17000000
Antler Hammer, Sell, 20000000
Antler Hammer, Sell, 20000000
Antler Hammer, Sell, 20000000
Antler Hammer, Sell, 25000000
Antler Hammer, Sell, 26500000
Antler Hammer, Sell, 30000000
Antler Hammer, Sell, 30000000
Antler Hammer, Sell, 30000000
Antler Hammer, Buy, 37000000
